Hochgeladen?,URL,Framework,ACCOUNT,VIEWS,LIKES,COMMENTS,SHARES,SAVES,PLATTFORM
TRUE,https://www.instagram.com/reel/DAptY9Dtd6J/,,Greator,552.000,23.400,,,,
TRUE,https://www.instagram.com/fuat_marta/reel/C8w789Bt16J/,,Fuat & Marta,552.000,23.400,924,,,
TRUE,https://www.tiktok.com/@greator/video/7257135122305043738,,Greator,548.600,16.600,99,1,2.968,
TRUE,https://www.instagram.com/fuat_marta/reel/C97l2BrNcce/,,Fuat & Marta,543.000,11.400,142,,,
TRUE,https://www.facebook.com/reel/970224884243108,,Greator,542.000,7.525,402,1.303,,
TRUE,https://youtube.com/shorts/29sErU_wn-k,,Greator,541.895,13.886,149,,,
TRUE,https://www.tiktok.com/@greator/video/7127329570625162501,,Greator,539.200,27.300,216,2,5.665,
TRUE,https://www.instagram.com/fuat_marta/reel/DAoGQE1PiLy/,,Fuat & Marta,534.000,6.967,64,,,
TRUE,https://www.instagram.com/greator/reel/ChXSfGKJ8NE/,,Greator,524.000,5.173,80,,,
TRUE,https://www.facebook.com/reel/1558626444920922,,Greator,524.000,13.826,547,8.200,,
TRUE,https://www.tiktok.com/@fuat_marta/video/7260892374723874074,,Fuat & Marta,521.700,17.800,146,824,4.570,
TRUE,https://www.instagram.com/greator/reel/ChkeINNoXpF/,,Greator,516.000,8.142,359,,,
TRUE,https://www.instagram.com/meetyourmaster.de/reel/C7t_NJgCY51/,,Meet Your Master,510.000,3.589,52,,,
TRUE,https://www.facebook.com/reel/365427839574066,,Meet Your Master,509.000,4.100,64,306,,
TRUE,https://www.instagram.com/greator/reel/DBqZfoviA6c/,,Greator,508.000,9.436,112,,,
TRUE,https://www.facebook.com/reel/1192677521826656,,Fuat & Marta,506.000,2.100,114,287,,
TRUE,https://www.instagram.com/greator/reel/Cll-vCGOmQm/,,Greator,500.000,11.900,234,,,
TRUE,https://youtube.com/shorts/QoZnnr8AOYE,,Greator,498.061,11.616,305,,,
TRUE,https://youtube.com/shorts/7N2xKcEob9E,,Greator,497.495,23.453,303,,,
TRUE,https://youtube.com/shorts/3iPgJM8_DRc,,Greator,495.301,13.452,129,,,
TRUE,https://www.tiktok.com/@greator/video/7145875405071731974,,Greator,492.800,24.600,86,935,4.047,
TRUE,https://www.tiktok.com/@fuat_marta/video/7376670963829722401,,Fuat & Marta,489.900,13.400,223,1.630,2.858,
TRUE,https://youtube.com/shorts/GdjDLVtqddE,,Greator,486.897,12.933,123,,,
TRUE,https://www.tiktok.com/@greator/video/7135495525008215302,,Greator,486.500,31.100,220,515,2.765,
TRUE,https://www.facebook.com/reel/931123472131616,,Meet Your Master,484.000,2.300,199,27,,
TRUE,https://www.tiktok.com/@greator/video/7144027969348996358,,Greator,483.900,32.700,69,2,3.233,
TRUE,https://youtube.com/shorts/9ZhRR4dujDI,,Greator,482.855,14.713,439,,,
TRUE,https://www.tiktok.com/@fuat_marta/video/7421198119875972385,,Fuat & Marta,482.500,11.000,98,5.324,7.968,
TRUE,https://www.tiktok.com/@greator/video/7306922451470994720,,Greator,482.300,14.400,245,606,3.743,
TRUE,https://www.facebook.com/reel/526308080019534,,Fuat & Marta,473.000,2.551,40,341,,
TRUE,https://www.instagram.com/gereonjoern/reel/C79b7GdqTrp/,,Gereon Jörn,472.000,5.039,53,,,
TRUE,https://www.tiktok.com/@greator/video/7112732528506703110,,Greator,460.200,9.117,135,862,1.494,
TRUE,https://www.tiktok.com/@fuat_marta/video/7425652962137066785,,Fuat & Marta,458.500,27.000,1.287,8.343,5.150,
TRUE,https://youtube.com/shorts/21sCK1NIILk,,Meet Your Master,456.766,6.658,179,,,
TRUE,https://www.instagram.com/greator/reel/ChSb_ELPrS9/,,Greator,452.000,8.725,180,,,
TRUE,https://www.facebook.com/reel/1066013071394581,,Meet Your Master,451.000,3.377,216,330,,
TRUE,https://www.facebook.com/reel/416539580819589,,Fuat & Marta,450.000,3.870,152,228,,
TRUE,https://youtube.com/shorts/Kf4tI7X5vdM,,Greator,445.611,12.524,596,,,
TRUE,https://www.tiktok.com/@greator/video/7193014600101645574,,Greator,444.700,12.400,152,986,1.833,
TRUE,https://www.youtube.com/shorts/xiFadh_M4Y8,,Lea Ernst,444.000,3.406,111,,,Shorts
TRUE,https://www.instagram.com/greator/reel/CiQEo7cNcls/,,Greator,442.000,9.810,78,,,
TRUE,https://youtube.com/shorts/v2HouVb7Bj8,,Greator,437.512,14.192,124,,,
TRUE,https://youtube.com/shorts/sfkLHSeoL2E,,Greator,436.773,6.763,115,,,
TRUE,https://www.instagram.com/reel/C_ldfXDstgf/,,Finanzfluss,435.275,4.272,27,2,,
TRUE,https://www.instagram.com/greator/reel/ChC7buusXP8/,,Greator,435.000,5.980,108,,,
TRUE,https://www.facebook.com/reel/1456520108391648,,Fuat & Marta,434.000,3.200,86,936,,
TRUE,https://www.instagram.com/greator/reel/C92czVfMLl-/,,Greator,419.000,15.200,132,,,
TRUE,https://www.tiktok.com/@greator/video/7380383550178135328,,Greator,413.400,11.200,430,3,2.677,
TRUE,https://youtube.com/shorts/9WQMDWHLNS4,,Greator,413.092,10.992,187,,,
TRUE,https://www.facebook.com/reel/6319087088126356,,Fuat & Marta,412.000,5.773,212,1.820,,
TRUE,https://www.tiktok.com/@greator/video/7135804410847956230,,Greator,411.500,17.200,92,2,1.324,
TRUE,https://www.instagram.com/greator/reel/CisOay3IW8j/,,Greator,405.000,8.656,76,,,
TRUE,https://www.tiktok.com/@mrtiefschlaf/video/7269798403373026593,,Chris Surel,397.000,9.994,667,,2.198,
TRUE,https://www.tiktok.com/@greator/video/6856307221098269958,,Greator,395.400,31.200,240,1,2.248,
TRUE,https://www.tiktok.com/@rafaelbettencourt2/video/7280559919454047520,,Rafael Bettencourt,394.600,12.700,138,2.021,10.400,
